     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    251904,       204,         0,   0.225,pymatching,831ee4a741a7a28a2fee1774f575e599a36383dc08b4c4a4273f43e02874808c,"{""base"":""ZXinterleaved"",""d"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
      1024,         0,         0,   0.007,pymatching,536b093812461afab32d4063f2739d1f100bba2607f05a950222e239e1b63c8e,"{""base"":""ZXinterleaved"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1024,        65,         0,   0.009,pymatching,ea6777763c3b5bb7c0007d2a6af1cc9050b1a2c69e0c6d65a7d1c2982518717f,"{""base"":""ZXinterleaved"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
        16,         0,         0,   0.000,pymatching,6a178ad38cb432deb26722c20aeb4e540f3fdf2593eb6ab7b77851e09ab907b7,"{""base"":""ZXinterleaved"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1024,         6,         0,   0.002,pymatching,576bfc113775ea2ea8bece5009796b70d0a462419fce6fa6384c2a67d639702e,"{""base"":""ZXinterleaved"",""d"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      6144,         0,         0,   0.027,pymatching,890af6b8094585763e3974695f8f3f92c381c227172029d7decce17408c36267,"{""base"":""ZXinterleaved"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
       256,        10,         0,   0.055,pymatching,5267053b80f00266613f3a7d0a7f7aa05473baa6a5c0c96b5e917af79aa37e23,"{""base"":""NZ"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
      2048,         0,         0,   0.009,pymatching,4427a26f2e109f40e2eab72e233cc9d296948c6c2d98d5da420f8c2a3a9e3a0d,"{""base"":""ZXinterleaved"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      7168,         0,         0,   0.010,pymatching,d17d5799b0a277e41337e38fa63751c9056d7d2db56073b8def59ba85d04c868,"{""base"":""ZXinterleaved"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
     43008,         0,         0,   0.129,pymatching,1b6f2c78c2e5c2f059f6aecbf6ec68bebac48e67f0f717df3b7ddaaa6ebab568,"{""base"":""ZXinterleaved"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
     15360,         0,         0,   0.022,pymatching,f53de385bbbf2bdb2985fd2816f907048878c31e14c3fba2c04c3211e491f958,"{""base"":""NZ"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
    180224,       109,         0,   0.129,pymatching,8fe7745013f5cb7d2bafa68e95f5771352a34ab378f34c0cdc11ddb00e5e353e,"{""base"":""NZ"",""d"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
     20480,         0,         0,   0.034,pymatching,665d17652c6cc0237bbde51d0fe2d020480a1fed97076db7b6d5e98355ea8d8f,"{""base"":""NZ"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1024,         0,         0,   0.003,pymatching,345b94802ae3f556ad1730a4335ee10699b96bc56ca98761bc97b2b3d52c4a82,"{""base"":""NZ"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      1024,         0,         0,   0.037,pymatching,63138cea0c134cbd89da5147a2b15ea09788dc00800fbeac9419a0fb82c73957,"{""base"":""ZXinterleaved"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
         1,         0,         0,   0.000,pymatching,77a3d25c6022bf8b19ee14b5cd3b8a7b90d4efdcfc9d829d22f433a145c84b32,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      7168,         7,         0,   0.114,pymatching,938587e16fbf44f6c15064025830dc874af1f9445004c363ca5950d6ba5e3028,"{""base"":""NZ"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
       256,       112,         0,   0.020,pymatching,30ccab802e54035ebdb080dfb0d2dea70c2e4e9a96e69b9255bb90d0dda94632,"{""base"":""ZXinterleaved"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.01}",
     18432,        54,         0,   0.121,pymatching,18aca3cbeafa7f647ab40556cd6d0417dc7633774866393b1c30eb156e0dcafe,"{""base"":""NZ"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
        16,         0,         0,   0.000,pymatching,77a3d25c6022bf8b19ee14b5cd3b8a7b90d4efdcfc9d829d22f433a145c84b32,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      4096,       248,         0,   0.059,pymatching,1ffb7906437a48ab0cbb2629bb12b896e2983544f66afe95ed138929ad160ff1,"{""base"":""NZ"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
       256,         0,         0,   0.003,pymatching,7fe323cbe87ce15f1ac01db7ede9cc14261e9f56e1821bfa2066e8ca039367e8,"{""base"":""ZXinterleaved"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
     93184,         0,         0,   0.336,pymatching,a7fbab2d40c091c110934556eb196df20ee335f33db25c6a5268037e6dd294b7,"{""base"":""ZXinterleaved"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
    118784,         4,         0,   0.284,pymatching,d881e03a131c18b4dd7e13bdca5d442efcf44b0830c642656742c8d313379f9b,"{""base"":""NZ"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
       256,         0,         0,   0.005,pymatching,6a178ad38cb432deb26722c20aeb4e540f3fdf2593eb6ab7b77851e09ab907b7,"{""base"":""ZXinterleaved"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1024,        58,         0,   0.078,pymatching,dabd5587936ffae59ce835ef157136ca144fd698ce1d7099bbc7dc2fcc4f6814,"{""base"":""NZ"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
      1024,         0,         0,   0.010,pymatching,9c0869b1cfb71df2cc7f2c17ca447df430407e09d8979206bb846d8a62c7975c,"{""base"":""NZ"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1024,        48,         0,   0.045,pymatching,efc471f53e274e58a0561e72b15c7166b99c80559773256ecaa101ae7ee77240,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
       256,       111,         0,   0.080,pymatching,94c96229274ea8e90a3749fb3b3790ee64ada0787f65a1b9738b7a002f7abcdb,"{""base"":""ZXinterleaved"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.01}",
     25600,         0,         0,   0.054,pymatching,48fe89a21fb274c743689b71d2ff152ddd385ccf546deee077c5aae8f5f11bdc,"{""base"":""ZXinterleaved"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
     44032,         0,         0,   0.054,pymatching,5f4b1e58735c1c3285304a0db866f06e67cdf5bd91092a89370fd0e21594f5a1,"{""base"":""ZXinterleaved"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      1024,         0,         0,   0.021,pymatching,ca40dddb925c42ce3e809a0ff287b5926e1a8c4f62a098d58ea2a2168e001fe1,"{""base"":""ZXinterleaved"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      9216,         0,         0,   0.022,pymatching,f12a06f798b787793faa4421475750c4126ac43bb809da2a2e1c858953dcd3ba,"{""base"":""NZ"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
     11264,         0,         0,   0.084,pymatching,347a29e6dde1f6838b844e21d75ad77c300efdd4335804ddc8d265f592a185d9,"{""base"":""ZXinterleaved"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      8192,        23,         0,   0.085,pymatching,7a9ebf3860272b7b3aa5662c3e0ff6967f7e2ef4fb9196b234ea1ea7c6809f8c,"{""base"":""ZXinterleaved"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      8192,        25,         0,   0.014,pymatching,576bfc113775ea2ea8bece5009796b70d0a462419fce6fa6384c2a67d639702e,"{""base"":""ZXinterleaved"",""d"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      1024,        78,         0,   0.073,pymatching,2ba464eb501db52f4bfe110eb8a4d614244cc81d6a55a7f02be2843458c3eeba,"{""base"":""ZXinterleaved"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
     80896,         6,         0,   0.040,pymatching,8777342cbc7f19a63307823dd89aa3420ae21b584aa36b5ad93f18769003e126,"{""base"":""ZXinterleaved"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      7168,         0,         0,   0.089,pymatching,7bfdeab110f7d96a51381493fe3631a2c8a3d2b0af8b09b256da262d277a8a75,"{""base"":""NZ"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
       256,       115,         0,   0.089,pymatching,0dfaeec965564b560ff8dee0fd88e93a2e44a5de980638eae16a8bff43e26bb0,"{""base"":""NZ"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.01}",
      1024,         6,         0,   0.001,pymatching,576bfc113775ea2ea8bece5009796b70d0a462419fce6fa6384c2a67d639702e,"{""base"":""ZXinterleaved"",""d"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      3072,       161,         0,   0.071,pymatching,08769d99065ceec3280754180756e5fe6820a2a1cbdd58f476f73a20de8d4c30,"{""base"":""NZ"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
      4096,         0,         0,   0.025,pymatching,536b093812461afab32d4063f2739d1f100bba2607f05a950222e239e1b63c8e,"{""base"":""ZXinterleaved"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
     79872,         2,         0,   0.036,pymatching,839f1f43084835516f23c7bb617e1472924bedbe110d3f5e6543e3beca6fecee,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
         1,         0,         0,   0.003,pymatching,8e03c9d2fa241d3cadd51d5a2310b8f9dc482d3fb2162ba8ebd4db3b669b8543,"{""base"":""NZ"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
        16,         0,         0,   0.000,pymatching,8e03c9d2fa241d3cadd51d5a2310b8f9dc482d3fb2162ba8ebd4db3b669b8543,"{""base"":""NZ"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      2048,         2,         0,   0.006,pymatching,345b94802ae3f556ad1730a4335ee10699b96bc56ca98761bc97b2b3d52c4a82,"{""base"":""NZ"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      1024,        68,         0,   0.103,pymatching,20caa8fed641a6ab0448f24596ff63c8e4d96f5d35f8a5e31deff1781280a946,"{""base"":""ZXinterleaved"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
      3072,       252,         0,   0.035,pymatching,ea6777763c3b5bb7c0007d2a6af1cc9050b1a2c69e0c6d65a7d1c2982518717f,"{""base"":""ZXinterleaved"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
     84992,         0,         0,   0.208,pymatching,6e1d47154b4f23505992fcc17f291752d9b051d8f4deea71577e1ce3cb736b0e,"{""base"":""NZ"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      6144,         0,         0,   0.018,pymatching,d17d5799b0a277e41337e38fa63751c9056d7d2db56073b8def59ba85d04c868,"{""base"":""ZXinterleaved"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
     22528,         0,         0,   0.138,pymatching,8e03c9d2fa241d3cadd51d5a2310b8f9dc482d3fb2162ba8ebd4db3b669b8543,"{""base"":""NZ"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
         1,         0,         0,   0.039,pymatching,60085a7c4f679aa5093045bfd6dbb87e4b43eba7760ea2e88e40c9bcd6d98c9f,"{""base"":""NZ"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      7168,         0,         0,   0.019,pymatching,4427a26f2e109f40e2eab72e233cc9d296948c6c2d98d5da420f8c2a3a9e3a0d,"{""base"":""ZXinterleaved"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      3072,         1,         0,   0.079,pymatching,487613dd173721cea9f35aa0a3d7262f6ed10ec43dc0b16b48039ca8016c65f6,"{""base"":""NZ"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
     13312,         0,         0,   0.055,pymatching,85154c6e8e2a14226ff78b8a1a79d3ef3f5941e096b851c15c5b7d67990f313e,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
     23808,        93,         0,   0.019,pymatching,77a3d25c6022bf8b19ee14b5cd3b8a7b90d4efdcfc9d829d22f433a145c84b32,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
